City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,aasiaat,68.7098,-52.8699,30.54,80,56,7.36,GL
1,jamestown,42.097,-79.2353,71.02,91,100,8.05,US
2,ocher,57.8904,54.7202,50.81,89,100,8.39,RU
3,reyes,-14.3167,-67.3833,63.66,69,100,4.32,BO
4,atherton,53.5237,-2.4935,57.74,78,100,3.0,GB
5,dakhla,23.6848,-15.958,65.14,85,100,21.27,EH
6,severo-yeniseyskiy,60.3725,93.0408,31.57,75,8,1.99,RU
7,susuman,62.7833,148.1667,45.99,51,18,3.0,RU
8,kodiak,57.79,-152.4072,45.91,71,100,13.8,US
9,albany,42.6001,-73.9662,80.89,51,100,0.76,US
10,papatowai,-46.5619,169.4708,42.89,76,97,24.18,NZ
11,dong ha,16.8163,107.1003,77.16,91,100,4.0,VN
12,codrington,-38.2667,141.9667,43.68,89,9,7.67,AU
13,puerto natales,-51.7236,-72.4875,32.45,86,0,3.44,CL
14,grytviken,-54.2811,-36.5092,17.53,74,91,9.73,GS
15,dauphin,51.1494,-100.0502,40.28,99,100,10.29,CA
16,ta'izz,13.5,44.0,78.1,51,41,4.07,YE
17,waitangi,-43.9535,-176.5597,45.82,74,98,21.0,NZ
18,tabor,49.4144,14.6578,58.32,90,70,3.47,CZ
19,port mathurin,-19.6833,63.4167,77.23,78,81,20.09,MU
20,figuig (centre),32.1089,-1.2286,81.27,16,35,8.93,MA
21,raduzhnyy,62.0961,77.475,39.2,96,100,12.48,RU
22,dolinsk,47.35,142.8,42.73,69,10,16.06,RU
23,pontes e lacerda,-15.2261,-59.3353,64.35,63,100,5.99,BR
24,san patricio,28.017,-97.5169,96.17,46,13,20.98,US
25,talcahuano,-36.7167,-73.1167,55.08,82,0,17.27,CL
26,port-aux-francais,-49.35,70.2167,39.13,78,30,40.02,TF
27,lompoc,34.6391,-120.4579,75.69,70,20,16.11,US
28,ushuaia,-54.8,-68.3,30.36,94,9,5.3,AR
29,flying fish cove,-10.4217,105.6791,80.28,83,75,13.8,CX
30,punta arenas,-53.15,-70.9167,39.31,87,20,11.5,CL
31,anloga,5.7947,0.8973,80.62,82,100,10.47,GH
32,sinabang,2.4803,96.3801,82.13,84,100,2.15,ID
33,bilibino,68.0546,166.4372,41.0,70,17,1.61,RU
34,adamstown,-25.066,-130.1015,70.09,68,13,13.09,PN
35,mount isa,-20.7333,139.5,55.17,82,0,4.61,AU
36,margaret river,-33.95,115.0667,62.1,70,61,8.81,AU
37,blackmans bay,-43.0167,147.3167,37.53,95,19,4.61,AU
38,megion,61.0296,76.1136,46.42,91,100,15.23,RU
39,hawaiian paradise park,19.5933,-154.9731,78.03,79,100,4.0,US
40,tarnow,50.0138,20.987,59.52,91,28,4.72,PL
41,abocho,7.5677,6.9863,73.08,88,63,3.56,NG
42,smithers,54.7804,-127.1743,57.69,44,100,6.17,CA
